0,0,-8,0.318021446,-8,-8,0.31802097
1,0,-8,0.31802097,-8,-8,0.318020731
2,8,-8,0.31802097,-8,-8,0.318020731
3,8,-8,0.31802097,-8,-6,0.318020731
4,8,-8,0.31802097,-8,-7,0.318020731
5,8,-8,0.31802097,-8,-7,0.318020731
6,8,-8,0.31802097,-8,-8,0.318020731
7,4,-8,0.31802097,-8,-8,0.318020731
8,4,-8,0.31802097,-8,-7,0.318020731
9,4,-8,0.31802097,-8,-7,0.318020731
10,4,-8,0.31802097,-8,-8,0.318020731
11,-8,-8,0.31802097,-8,-8,0.318020731
12,-8,-8,0.31802097,-8,-8,0.318020731
13,-8,-8,0.31802097,-8,-7,0.318020731
14,-4,-8,0.31802097,-8,-7,0.318020731
15,-4,-8,0.31802097,-8,-8,0.318020731
16,4,-8,0.31802097,-8,-8,0.318020731
17,-4,-8,0.31802097,-8,-8,0.318020731
18,-4,-8,0.31802097,-8,-8,0.318020731